package;version;requirement;channel
anndata;0.9.2;anndata==0.9.2;conda-forge
blas;1.0;blas==1.0;anaconda
blosc;1.21.5;blosc==1.21.5;conda-forge
bottleneck;1.3.5;bottleneck==1.3.5;anaconda
brotli;1.0.9;brotli==1.0.9;anaconda
brotli-bin;1.0.9;brotli-bin==1.0.9;anaconda
brotli-python;1.0.9;brotli-python==1.0.9;anaconda
brotlipy;0.7.0;brotlipy==0.7.0;anaconda
bzip2;1.0.8;bzip2==1.0.8;conda-forge
c-blosc2;2.12.0;c-blosc2==2.12.0;pkgs/main
ca-certificates;2024.9.24;ca-certificates==2024.9.24;anaconda
cached-property;1.5.2;cached-property==1.5.2;anaconda
celltypist;1.6.3;celltypist==1.6.3;bioconda
certifi;2024.8.30;certifi==2024.8.30;conda-forge
cffi;1.17.1;cffi==1.17.1;anaconda
chardet;3.0.4;chardet==3.0.4;anaconda
charset-normalizer;3.3.2;charset-normalizer==3.3.2;anaconda
click;7.1.2;click==7.1.2;anaconda
colorama;0.4.6;colorama==0.4.6;anaconda
contourpy;1.0.5;contourpy==1.0.5;anaconda
cryptography;43.0.0;cryptography==43.0.0;anaconda
cycler;0.11.0;cycler==0.11.0;anaconda
et_xmlfile;1.1.0;et_xmlfile==1.1.0;anaconda
fonttools;4.51.0;fonttools==4.51.0;anaconda
freetype;2.12.1;freetype==2.12.1;conda-forge
get-annotations;0.1.2;get-annotations==0.1.2;conda-forge
glpk;5.0;glpk==5.0;conda-forge
h5py;3.7.0;h5py==3.7.0;anaconda
hdf5;1.10.6;hdf5==1.10.6;anaconda
icc_rt;2022.1.0;icc_rt==2022.1.0;anaconda
idna;2.10;idna==2.10;anaconda
igraph;0.10.13;igraph==0.10.13;conda-forge
importlib-metadata;7.0.1;importlib-metadata==7.0.1;anaconda
importlib-resources;6.4.0;importlib-resources==6.4.0;conda-forge
importlib_metadata;7.0.1;importlib_metadata==7.0.1;anaconda
importlib_resources;6.4.0;importlib_resources==6.4.0;anaconda
intel-openmp;2023.1.0;intel-openmp==2023.1.0;anaconda
jdcal;1.4.1;jdcal==1.4.1;anaconda
joblib;1.4.2;joblib==1.4.2;anaconda
kiwisolver;1.4.4;kiwisolver==1.4.4;anaconda
krb5;1.21.3;krb5==1.21.3;anaconda
lcms2;2.16;lcms2==2.16;conda-forge
legacy-api-wrap;1.4;legacy-api-wrap==1.4;conda-forge
leidenalg;0.9.0;leidenalg==0.9.0;conda-forge
lerc;4.0.0;lerc==4.0.0;conda-forge
libaec;1.1.3;libaec==1.1.3;conda-forge
libblas;3.9.0;libblas==3.9.0;conda-forge
libbrotlicommon;1.0.9;libbrotlicommon==1.0.9;anaconda
libbrotlidec;1.0.9;libbrotlidec==1.0.9;anaconda
libbrotlienc;1.0.9;libbrotlienc==1.0.9;anaconda
libcblas;3.9.0;libcblas==3.9.0;conda-forge
libcurl;8.9.1;libcurl==8.9.1;anaconda
libdeflate;1.20;libdeflate==1.20;conda-forge
libffi;3.4.2;libffi==3.4.2;conda-forge
libiconv;1.17;libiconv==1.17;conda-forge
libjpeg-turbo;3.0.0;libjpeg-turbo==3.0.0;conda-forge
liblapack;3.9.0;liblapack==3.9.0;conda-forge
libleidenalg;0.11.1;libleidenalg==0.11.1;conda-forge
libpng;1.6.39;libpng==1.6.39;anaconda
libsqlite;3.47.0;libsqlite==3.47.0;conda-forge
libssh2;1.11.0;libssh2==1.11.0;conda-forge
libtiff;4.6.0;libtiff==4.6.0;conda-forge
libwebp-base;1.4.0;libwebp-base==1.4.0;conda-forge
libxcb;1.15;libxcb==1.15;conda-forge
libxml2;2.13.1;libxml2==2.13.1;anaconda
libzlib;1.2.13;libzlib==1.2.13;conda-forge
llvmlite;0.39.1;llvmlite==0.39.1;anaconda
lz4-c;1.9.4;lz4-c==1.9.4;pkgs/main
m2w64-gcc-libgfortran;5.3.0;m2w64-gcc-libgfortran==5.3.0;conda-forge
m2w64-gcc-libs;5.3.0;m2w64-gcc-libs==5.3.0;conda-forge
m2w64-gcc-libs-core;5.3.0;m2w64-gcc-libs-core==5.3.0;conda-forge
m2w64-gmp;6.1.0;m2w64-gmp==6.1.0;conda-forge
m2w64-libwinpthread-git;5.0.0.4634.697f757;m2w64-libwinpthread-git==5.0.0.4634.697f757;conda-forge
matplotlib-base;3.2.2;matplotlib-base==3.2.2;pkgs/main
mkl;2023.1.0;mkl==2023.1.0;anaconda
mkl-service;2.4.0;mkl-service==2.4.0;anaconda
mkl_fft;1.3.8;mkl_fft==1.3.8;anaconda
mkl_random;1.2.4;mkl_random==1.2.4;anaconda
mock;4.0.3;mock==4.0.3;anaconda
mpir;3.0.0;mpir==3.0.0;anaconda
msys2-conda-epoch;20160418;msys2-conda-epoch==20160418;conda-forge
natsort;7.1.1;natsort==7.1.1;anaconda
networkx;3.1;networkx==3.1;anaconda
numba;0.56.4;numba==0.56.4;anaconda
numexpr;2.8.4;numexpr==2.8.4;anaconda
numpy;1.19.0;numpy==1.19.0;conda-forge
numpy-base;1.24.3;numpy-base==1.24.3;anaconda
openjpeg;2.5.2;openjpeg==2.5.2;pkgs/main
openpyxl;3.0.4;openpyxl==3.0.4;anaconda
openssl;3.3.2;openssl==3.3.2;conda-forge
packaging;24.1;packaging==24.1;anaconda
pandas;1.0.5;pandas==1.0.5;anaconda
patsy;0.5.6;patsy==0.5.6;anaconda
pillow;10.3.0;pillow==10.3.0;conda-forge
pip;24.3.1;pip==24.3.1;conda-forge
platformdirs;3.10.0;platformdirs==3.10.0;anaconda
pooch;1.7.0;pooch==1.7.0;anaconda
pthread-stubs;0.4;pthread-stubs==0.4;conda-forge
py-cpuinfo;9.0.0;py-cpuinfo==9.0.0;pkgs/main
pycparser;2.21;pycparser==2.21;anaconda
pynndescent;0.5.10;pynndescent==0.5.10;anaconda
pyopenssl;24.2.1;pyopenssl==24.2.1;anaconda
pyparsing;3.0.9;pyparsing==3.0.9;anaconda
pysocks;1.7.1;pysocks==1.7.1;anaconda
pytables;3.6.1;pytables==3.6.1;conda-forge
python;3.8.20;python==3.8.20;pkgs/main
python-annoy;1.17.3;python-annoy==1.17.3;conda-forge
python-dateutil;2.9.0post0;python-dateutil==2.9.0post0;anaconda
python-igraph;0.11.5;python-igraph==0.11.5;conda-forge
python-tzdata;2023.3;python-tzdata==2023.3;anaconda
python_abi;3.8;python_abi==3.8;conda-forge
pytz;2024.1;pytz==2024.1;anaconda
requests;2.23.0;requests==2.23.0;anaconda
scanpy;1.8.2;scanpy==1.8.2;conda-forge
scikit-learn;0.24.1;scikit-learn==0.24.1;anaconda
scipy;1.9.3;scipy==1.9.3;anaconda
seaborn;0.12.2;seaborn==0.12.2;pkgs/main
session-info;1.0.0;session-info==1.0.0;conda-forge
setuptools;75.3.0;setuptools==75.3.0;conda-forge
setuptools-scm;8.1.0;setuptools-scm==8.1.0;anaconda
setuptools_scm;8.1.0;setuptools_scm==8.1.0;anaconda
sinfo;0.3.1;sinfo==0.3.1;conda-forge
six;1.16.0;six==1.16.0;anaconda
snappy;1.2.1;snappy==1.2.1;pkgs/main
sqlite;3.45.3;sqlite==3.45.3;pkgs/main
statsmodels;0.13.5;statsmodels==0.13.5;anaconda
stdlib-list;0.10.0;stdlib-list==0.10.0;anaconda
tbb;2021.8.0;tbb==2021.8.0;anaconda
texttable;1.6.4;texttable==1.6.4;anaconda
threadpoolctl;3.5.0;threadpoolctl==3.5.0;anaconda
tk;8.6.13;tk==8.6.13;conda-forge
tomli;2.0.1;tomli==2.0.1;anaconda
tornado;6.4.1;tornado==6.4.1;pkgs/main
tqdm;4.66.5;tqdm==4.66.5;anaconda
typing-extensions;4.11.0;typing-extensions==4.11.0;anaconda
typing_extensions;4.11.0;typing_extensions==4.11.0;anaconda
ucrt;10.0.22621.0;ucrt==10.0.22621.0;conda-forge
umap-learn;0.5.3;umap-learn==0.5.3;anaconda
unicodedata2;15.1.0;unicodedata2==15.1.0;anaconda
urllib3;1.25.11;urllib3==1.25.11;anaconda
vc;14.3;vc==14.3;conda-forge
vc14_runtime;14.40.33810;vc14_runtime==14.40.33810;conda-forge
vs2015_runtime;14.40.33810;vs2015_runtime==14.40.33810;conda-forge
wheel;0.44.0;wheel==0.44.0;conda-forge
win_inet_pton;1.1.0;win_inet_pton==1.1.0;anaconda
xorg-libxau;1.0.11;xorg-libxau==1.0.11;conda-forge
xorg-libxdmcp;1.1.3;xorg-libxdmcp==1.1.3;conda-forge
xz;5.2.6;xz==5.2.6;conda-forge
zipp;3.20.2;zipp==3.20.2;anaconda
zlib;1.2.13;zlib==1.2.13;conda-forge
zlib-ng;2.0.7;zlib-ng==2.0.7;pkgs/main
zstd;1.5.6;zstd==1.5.6;conda-forge
