"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B2m",2.09834565746405e-36,0.549359633377956,0.986,0.971,2.52011313461432e-32
"Gpr132",1.05338130709058e-28,-0.764545338965282,0.732,0.841,1.26511094981579e-24
"Il2ra",2.01941659511456e-21,0.639284246340706,0.821,0.619,2.42531933073258e-17
"Foxp3",2.10942556484804e-20,0.667466694006759,0.751,0.553,2.5334201033825e-16
"Ikzf2",2.11130950066463e-19,0.516664488573179,0.867,0.718,2.53568271029822e-15
"Rilpl2",3.4659460828221e-17,0.988800497135683,0.501,0.323,4.16260124546934e-13
"Gzmb",2.81544337452123e-16,0.944323442124406,0.536,0.354,3.3813474928e-12
"Wnk1",1.75177813773557e-15,0.388725532173791,0.956,0.933,2.10388554342041e-11
"Hcls1",1.75145328813525e-14,0.407300188704251,0.871,0.764,2.10349539905044e-10
"Vps37b",2.62065135395409e-14,-0.667329710227089,0.829,0.885,3.14740227609887e-10
"Cd53",2.87739393547983e-14,-0.421414958127692,0.806,0.896,3.45575011651128e-10
"Slfn8",4.50301841639277e-14,0.755557522126717,0.568,0.399,5.40812511808771e-10
"Maf",1.24003470320533e-13,0.560829586830876,0.741,0.597,1.4892816785496e-09
"Adar",1.40901785841422e-13,0.667590586597489,0.546,0.384,1.69223044795548e-09
"Tnfaip3",2.00750724305579e-13,-0.36657328926986,0.887,0.945,2.41101619891e-09
"Rnf213",6.10070187790407e-13,0.61133851088979,0.751,0.602,7.32694295536278e-09
"Ddx5",1.11320653037553e-12,-0.40367918909626,0.824,0.882,1.33696104298101e-08
"Abhd2",7.70286347567657e-12,-0.636557423595798,0.389,0.544,9.25113903428756e-08
"Actn1",7.82664253569678e-12,-1.3916652538208,0.109,0.234,9.39979768537183e-08
"Cd2",9.40750347287145e-12,0.305851691698837,0.961,0.946,1.12984116709186e-07
"Dtx3l",1.27828328378126e-11,0.686266173701592,0.546,0.407,1.53521822382129e-07
"Septin9",1.40269353596647e-11,0.457750201624302,0.743,0.598,1.68463493669573e-07
"Gbp7",2.36227458588411e-11,0.679047761804028,0.547,0.404,2.83709177764681e-07
"Ccr2",3.72337454461989e-11,0.763739904186242,0.432,0.287,4.47177282808849e-07
"Ldha",9.97052055187959e-11,0.509388882232069,0.726,0.606,1.19745951828074e-06
"Tnfrsf9",1.34749465847564e-10,0.268442408928605,0.928,0.824,1.61834108482925e-06
"Gpr55",2.12349787326751e-10,0.546289589288861,0.514,0.361,2.55032094579428e-06
"Tnfrsf4",5.09776932896564e-10,0.325703791689751,0.942,0.845,6.12242096408774e-06
"Gramd2b",6.1632431241579e-10,-0.75626904586267,0.502,0.615,7.40205499211364e-06
"Stat1",7.0446738260238e-10,0.294124779401837,0.952,0.872,8.46065326505458e-06
"Samhd1",7.08685145127951e-10,0.423305845300532,0.847,0.795,8.5113085929867e-06
"Sv2c",7.31178650009871e-10,0.672691600078418,0.426,0.29,8.78145558661855e-06
"Xaf1",7.64227816870909e-10,0.648735796171796,0.499,0.369,9.17837608061961e-06
"Pde3b",8.53171667904075e-10,-2.09475460054255,0.029,0.107,1.02465917315279e-05
"Klf3",9.51731840750089e-10,-1.9258776885331,0.039,0.121,1.14302994074086e-05
"Itgb7",1.31181129501021e-09,0.391865029540525,0.828,0.72,1.57548536530726e-05
"Tnks2",1.32495342043126e-09,-0.665697869525713,0.356,0.486,1.59126905793794e-05
"Arl5a",2.50416079513685e-09,0.420239244411749,0.691,0.564,3.00749711495936e-05
"Eif4a2",2.8228496831059e-09,-0.427430570539439,0.663,0.752,3.39024246941019e-05
"Il12rb1",3.02463410563364e-09,0.776472504681439,0.355,0.231,3.632585560866e-05
"Hsph1",3.13753327358316e-09,-0.988649217046341,0.125,0.235,3.76817746157337e-05
"Lcp1",4.21669233279216e-09,0.262753473713907,0.961,0.924,5.06424749168339e-05
"Tdrp",4.27547407680383e-09,-2.40485726003312,0.01,0.068,5.1348443662414e-05
"Epb41",4.39929370591008e-09,-0.749568210517677,0.349,0.475,5.283551740798e-05
"Lmna",4.58457433562223e-09,0.477186238484483,0.649,0.516,5.5060737770823e-05
"Shisa5",4.85176060245429e-09,0.247937128608168,0.99,0.983,5.82696448354761e-05
"N4bp1",4.96120464879297e-09,0.352032409784191,0.747,0.618,5.95840678320036e-05
"Aff1",7.13872816824664e-09,-0.596301093076068,0.439,0.565,8.57361253006421e-05
"Rras2",1.01313125196313e-08,-1.85820411620944,0.073,0.161,0.000121677063360773
"Itm2c",1.0504733896784e-08,0.400862382110277,0.81,0.75,0.000126161854100376
"Ddx3x",1.05759166820056e-08,-0.480749025438588,0.546,0.652,0.000127016759350887
"Isg20",1.05904861543794e-08,0.543744379062668,0.629,0.518,0.000127191738714097
"Rhog",1.06220579449224e-08,-0.42935556406859,0.52,0.639,0.000127570915918518
"Tcf7",1.09295298059179e-08,-1.28739967848495,0.065,0.154,0.000131263652969074
"S1pr1",1.59447275819756e-08,-1.71467205261301,0.154,0.254,0.000191496178259527
"Hopx",1.67559703454971e-08,0.397468499530069,0.817,0.71,0.00020123920384942
"Rtp4",1.67713147517787e-08,0.636132823160783,0.523,0.409,0.000201423490168863
