"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vps37b",1.8543060708112e-26,-0.687722056027686,0.794,0.897,2.22702159104425e-22
"Il7r",2.53851336659812e-23,0.748121176259803,0.612,0.416,3.04875455328435e-19
"Il2ra",6.63042919799204e-21,0.652491745374359,0.799,0.639,7.96314546678844e-17
"Sv2c",2.89789753464682e-19,0.723866739428858,0.525,0.347,3.48037493911083e-15
"Tpt1",4.16942629359959e-19,-0.321451415868002,0.97,0.983,5.0074809786131e-15
"Serf2",1.34746562329987e-18,-0.61633449077438,0.368,0.552,1.61830621358315e-14
"Nr4a3",7.45417546248694e-18,-0.569599101019818,0.524,0.681,8.95246473044681e-14
"Icos",1.21756890559326e-17,0.408611702617359,0.963,0.939,1.46230025561751e-13
"Eef1a1",3.44826211645996e-17,-0.309838425626148,0.992,0.999,4.14136280186842e-13
"Ly6a",3.65421655243821e-17,0.395597184170888,0.951,0.938,4.38871407947829e-13
"Mdfic",2.11341251709133e-16,0.851034269313591,0.456,0.311,2.53820843302669e-12
"Tnfrsf4",3.56564048791852e-14,0.373318530395302,0.934,0.856,4.28233422599014e-10
"Nr4a2",1.20371158933243e-12,-0.737052702636855,0.311,0.438,1.44565761878825e-08
"Ccr2",2.31356409080174e-12,0.718405995097984,0.395,0.261,2.77859047305289e-08
"Junb",3.37788330210613e-12,-0.374206395976725,0.85,0.897,4.05683784582946e-08
"Jcad",1.82005452920525e-11,1.56060096648078,0.138,0.06,2.18588548957551e-07
"Ly6e",3.1157154844189e-11,0.254278768175416,0.979,0.976,3.7419742967871e-07
"Gramd2b",4.81692374672253e-11,-0.635120274370233,0.45,0.559,5.78512541981375e-07
"Tnfrsf18",5.00010940013688e-11,0.285807383729454,0.925,0.875,6.00513138956439e-07
"Klrg1",6.89445055476648e-11,0.664015194323024,0.353,0.232,8.28023511627454e-07
"Zfp36l2",1.43357453674206e-10,0.452484684847754,0.819,0.747,1.72172301862721e-06
"Ahnak",4.63074742079712e-10,0.371597226127857,0.827,0.752,5.56152765237734e-06
"Coq10b",4.67226526450733e-10,-0.557801243124123,0.41,0.52,5.61139058267331e-06
"Gna13",7.95426669576191e-10,-0.279790183041139,0.874,0.925,9.55307430161006e-06
"Tmsb10",8.79447428045528e-10,-0.271760530533566,0.881,0.907,1.05621636108268e-05
"Jund",1.37207799845822e-09,0.246579644399147,0.98,0.965,1.64786567614833e-05
"Itgav",2.24830003636303e-09,0.324630773538921,0.876,0.795,2.700208343672e-05
"Cd44",2.38982174354198e-09,0.399248821348395,0.735,0.647,2.87017591399391e-05
"Hif1a",2.58303796140456e-09,0.293048368947351,0.825,0.73,3.10222859164688e-05
"Tpm4",2.91265790414968e-09,-0.316301273713659,0.817,0.861,3.49810214288376e-05
"Il21r",3.0989369429577e-09,-0.420659640989076,0.672,0.735,3.7218232684922e-05
"Havcr2",4.67063684704288e-09,0.577874532800265,0.463,0.357,5.6094348532985e-05
"Tnfrsf9",6.47305271244408e-09,0.31601176443837,0.908,0.854,7.77413630764534e-05
"Ttc39c",6.71794410210115e-09,0.394022271520537,0.579,0.448,8.06825086662348e-05
"Fth1",7.70620880552943e-09,-0.235776189885279,0.926,0.958,9.25515677544084e-05
"mt-Atp8",1.61561584303385e-08,-0.250864269522926,0.711,0.781,0.000194035462748366
"Ccnd3",2.85235872978138e-08,0.569083626566964,0.406,0.304,0.000342568283446743
"Ddit4",3.82889343877469e-08,0.397408358316985,0.699,0.596,0.00045985010199684
"Atp6-ps",5.88154513825544e-08,-0.26125031762868,0.683,0.751,0.000706373571104478
"Plxnd1",7.77236887980493e-08,0.593191287004923,0.31,0.216,0.000933461502464572
"Sytl2",1.0881270759145e-07,0.457034229498577,0.402,0.297,0.00130684061817332
"S1pr1",1.32069965346943e-07,-1.34527123899961,0.159,0.237,0.00158616028381678
"Abhd2",1.36220941090145e-07,0.434080080408763,0.466,0.366,0.00163601350249264
"H3f3b",1.4357741715322e-07,-0.242015616000501,0.9,0.923,0.00172436478001018
"Txnip",1.52744743877104e-07,0.529013459504429,0.526,0.43,0.00183446437396402
"Gzmb",1.98893333619001e-07,0.497227118626041,0.527,0.43,0.0023887089367642
"H2-D1",1.99091136700554e-07,0.337469648820425,0.69,0.625,0.00239108455177366
"Rnf157",2.05940176465561e-07,0.571456069347345,0.368,0.277,0.00247334151935139
"Gimap9",2.08255056346888e-07,0.422798717180364,0.479,0.377,0.00250114322672613
"Tsc22d3",2.21703655055708e-07,0.349803683622938,0.586,0.481,0.00266266089721905
"Glrx",2.58383887593985e-07,0.361542339574053,0.717,0.647,0.00310319049000376
"Cflar",2.69179794482622e-07,0.634279840923358,0.237,0.154,0.00323284933173629
"Itgb3",3.10630132608778e-07,0.666416658744324,0.327,0.238,0.00373066789263143
"Gimap1",4.23356185287717e-07,0.427545503533259,0.527,0.435,0.00508450778530548
"Rab1a",6.27091570017927e-07,-0.293507537570768,0.577,0.656,0.0075313697559153
"Naca",6.83105462869031e-07,-0.310703651283304,0.6,0.679,0.00820409660905706
"Igfbp4",7.37857144701411e-07,-2.14266701181113,0.032,0.08,0.00886166430786394
"Tdrp",1.05359872928649e-06,-2.10431683882178,0.012,0.047,0.0126537207387308
"Srgn",1.13905577279233e-06,0.19949931028498,0.979,0.976,0.0136800598312359
"Tox",1.14734833964571e-06,-0.418990826300491,0.514,0.577,0.0137796535591449
"Actn1",1.62961918263044e-06,-0.75339260859737,0.126,0.198,0.0195717263833915
"Clec2d",1.79926115782735e-06,0.29919719695283,0.673,0.572,0.0216091265055065
"Rbpj",2.05844933087492e-06,0.307686600367434,0.672,0.582,0.0247219764638078
"Ccnd2",2.07975459772452e-06,0.336787719768201,0.682,0.601,0.0249778527186715
"Cystm1",2.56688276501795e-06,0.549373711057524,0.257,0.179,0.0308282620078656
"Arl5a",2.6384517571973e-06,0.296693188974906,0.679,0.602,0.0316878056039396
"Cep85l",2.78315837035943e-06,0.365221417548201,0.433,0.343,0.0334257320280168
"Myo10",3.00315310240131e-06,0.798879273229001,0.155,0.093,0.0360678687598397
"Klf6",3.01970429180146e-06,0.283734679442811,0.775,0.711,0.0362666485445355
